name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Sunstate Equipment · Visited link,"10041 W University Dr, McKinney, TX 75070",sunstateequip.com,(972) 245-5656,0,4.9,30.6109347,-120.1815043
USA Heavy Equipment and Parts · Visited link,"5075 NW 79th Ave, Doral, FL 33166",usaheavyequip.com,(800) 985-9597,0,5.0,30.6109347,-120.1815043
Sunstate Equipment · Visited link,"6035 NE Interstate 410 Loop, San Antonio, TX 78218",sunstateequip.com,(210) 666-1100,0,4.8,30.6109347,-120.1815043
United Rentals - Aerial · Visited link,"3501 FL-7, Davie, FL 33314",unitedrentals.com,(954) 667-3225,0,4.9,30.6109347,-120.1815043
Quality Equipment & Parts · Visited link,"4894 NW, US-41, Lake City, FL 32055",qepusa.com,(386) 754-6186,0,4.8,30.6109347,-120.1815043
Florida Heavy Equipment Sales · Visited link,,floridaheavyequipmentsales.com,(863) 393-8444,0,5.0,30.6109347,-120.1815043
East Coast Equipment Group Inc · Visited link,"6593 Wallis Rd, West Palm Beach, FL 33413",ecequipment.com,(561) 517-4427,0,3.8,30.6109347,-120.1815043
"Construction Equipment, Inc. · Visited link","711 Jeffords St, Clearwater, FL 33756",constructionequipmentinc.com,(727) 441-3850,0,4.7,30.6109347,-120.1815043
"United States Crane, Inc. · Visited link","1155 Central Florida Pkwy, Orlando, FL 32837",supercage.com,(407) 859-6000,0,3.7,30.6109347,-120.1815043
Alta Equipment Company · Visited link,"8418 Palm River Rd, Tampa, FL 33619",construction.altaequipment.com,(813) 630-0077,0,4.2,30.6109347,-120.1815043
UNITED TRADING & ENGINEERING SERVICES · Visited link,"111 N Orange Ave Suit 800, Orlando, FL 32801",unitedtradingservices.com,(813) 304-9938,0,0.0,30.6109347,-120.1815043
Construction Traders USA · Visited link,"8001 NW 29th St, Doral, FL 33122",,(786) 638-9972,0,1.0,30.6109347,-120.1815043
United States Machinery · Visited link,,unitedstatesmachinery.com,(772) 696-4010,0,0.0,30.6109347,-120.1815043
United Rentals · Visited link,"5711 E Adamo Dr, Tampa, FL 33619",unitedrentals.com,(813) 630-4889,0,4.0,30.6109347,-120.1815043
United Rentals · Visited link,"11909 S Orange Blossom Trl, Orlando, FL 32837",unitedrentals.com,(407) 851-3600,0,4.6,30.6109347,-120.1815043
Newman Tractor · Visited link,"2600 State Rd 60 W, Bartow, FL 33830",newmantractor.com,(863) 533-8900,0,4.4,30.6109347,-120.1815043
UCM Inc · Visited link,"3280 Mulford Rd, Mulberry, FL 33860",ucminc.net,(863) 425-2960,0,5.0,30.6109347,-120.1815043
USA EQUIPMENT SERVICE LAND CLEARING AND RENTAL INC. · Visited link,"801 NW 27th Ave, Miami, FL 33125",,(786) 999-2872,0,3.8,30.6109347,-120.1815043
