name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
U.S. Construction Corp. · Visited link,"6355 NW 36th St #608, Miami, FL 33166",usconstructioncorp.com,(305) 443-5808,0,4.0,27.998182,-84.1034845
US Building Construction Inc · Visited link,"1248 Seven Springs Blvd STE D, New Port Richey, FL 34655",usbuildingconstruction.net,(727) 264-7350,0,4.5,28.178679,-87.3125303
"Florida Palm Construction, Inc. · Visited link","3931 SW 47th Ave Suite 101, Davie, FL 33314",floridapalm.com,(954) 706-7816,0,4.6,26.0734353,-84.8275223
"U.S. Construction Group, LLC · Visited link",,usconstructiongroupllc.com,(754) 244-3494,0,5.0,26.0734353,-84.8275223
Florida State Roofing and Construction · Visited link,"5711 33rd St E, Bradenton, FL 34203",flstateroofing.com,(941) 379-2501,0,4.4,27.4394619,-87.1357775
United Construction Company · Visited link,"12995 S Cleveland Ave #244, Fort Myers, FL 33907",unitedconstructionus.com,(239) 288-6590,0,5.0,27.4394619,-87.1357775
Florida Construction Services · Visited link,,myfcs.net,(888) 268-2626,0,4.2,27.4394619,-87.1357775
FL Construction · Visited link,"1542 Melbourne Ave, Haines City, FL 33844",,(863) 521-9528,0,4.8,27.4394619,-87.1357775
"Florida State Construction, LLC · Visited link",,floridastateconstructionllc.com,(407) 948-1427,0,5.0,27.4394619,-87.1357775
The US Construction Company · Visited link,"13538 Village Park Dr #135, Orlando, FL 32837",,(407) 962-6008,0,5.0,27.4394619,-87.1357775
Central Florida Equity Builders · Visited link,"2582 Connection Point STE 1008, Oviedo, FL 32765",cfebuilders.com,(407) 314-9352,0,5.0,27.4394619,-87.1357775
USA First Construction Services · Visited link,,usafirstconstructionservices.com,(813) 270-4105,0,5.0,27.4394619,-87.1357775
United Contractors Building Corporation · Visited link,"217 E Plymouth Ave, DeLand, FL 32724",unitedcbc.com,(386) 740-8188,0,4.6,27.4394619,-87.1357775
Florida State General Contractors · Visited link,"2301 N Tamiami Trl, Nokomis, FL 34275",yourfsgc.com,(941) 918-9660,0,5.0,27.4394619,-87.1357775
First Florida Construction · Visited link,"200 NE Dixie Hwy, Stuart, FL 34994",firstfloridaconstruction.com,(772) 692-1387,0,4.3,27.4394619,-87.1357775
United Construction Solutions INC · Visited link,,unitedconstructionfl.com,(407) 334-1235,0,5.0,27.4394619,-87.1357775
United Construction Group · Visited link,,unitedc.group,(772) 332-8490,0,5.0,27.4394619,-87.1357775
RIG Roofing · Visited link,"2001 Havendale Blvd NW, Winter Haven, FL 33881",rigroofing.com,(863) 294-4477,0,4.8,27.4394619,-87.1357775
USA Concrete Services · Visited link,,usaconcreteservicesfl.com,(941) 248-3377,0,4.6,27.4394619,-87.1357775
"Jr. Davis Construction Company, Inc. · Visited link","210 Hangar Road, Kissimmee, FL 34741",jr-davis.com,(407) 870-0066,0,4.2,27.4394619,-87.1357775
