name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Ocala Tractor LLC · Visited link,"5841 N US Hwy 441, Ocala, FL 34475",ocalatractor.com,(352) 732-8585,0,4.7,27.389677,-87.1360237
Everglades Equipment Group · Visited link,"2805 State Rd 60, Plant City, FL 33567",evergladesfarmequipment.com,(813) 737-1660,0,4.5,27.389677,-87.1360237
Rural King · Visited link,"1970 State Rd 60, Lake Wales, FL 33853",ruralking.com,(863) 676-1237,0,4.5,27.389677,-87.1360237
Florida Coast Equipment · Visited link,"2695 SW 64th Ave, Davie, FL 33314",floridacoasteq.com,(954) 916-1020,0,4.2,27.389677,-87.1360237
Fields Equipment Company · Visited link,"17215 US Hwy 27, Clermont, FL 34715",fieldsequip.com,(352) 394-7181,0,4.4,27.389677,-87.1360237
Everglades Equipment Group · Visited link,"1800 US-441, Leesburg, FL 34748",evergladesfarmequipment.com,(352) 315-1016,0,4.6,27.389677,-87.1360237
Florida Coast Equipment · Visited link,"1750 E Irlo Bronson Memorial Hwy, Kissimmee, FL 34744",floridacoasteq.com,(407) 452-0550,0,4.5,27.389677,-87.1360237
MST Sod Equipment · Visited link,"8110 US Hwy 98 N, Lakeland, FL 33810",mstsodequipment.com,(863) 853-4247,0,4.9,27.389677,-87.1360237
Everglades Equipment Group · Visited link,"12049 S Orange Blossom Trl, Orlando, FL 32837",evergladesfarmequipment.com,(407) 240-1023,0,4.6,27.389677,-87.1360237
Florida Coast Equipment · Visited link,"5211 FL-40, Ocala, FL 34482",floridacoasteq.com,(352) 368-2400,0,4.4,27.389677,-87.1360237
Crystal Tractor & Equipment · Visited link,"8515 State Rd 207, Hastings, FL 32145",crystaltractor.com,(904) 692-3673,0,4.3,27.389677,-87.1360237
Grove Equipment Service · Visited link,"5905 State Rd 60 East, Bartow, FL 33830",groveequipment.biz,(863) 537-1345,0,4.4,27.389677,-87.1360237
Tractor Supply Co. · Visited link,"20100 Pines Blvd, Pembroke Pines, FL 33029",tractorsupply.com,(954) 437-3071,0,4.0,27.389677,-87.1360237
"GULF COAST TURF AND TRACTOR, LLC · Visited link","404 N Frontage Rd, Plant City, FL 33563",gulfcoasttractor.com,(813) 764-0603,0,4.1,27.389677,-87.1360237
Kennco Manufacturing Inc · Visited link,"1105 3rd St NE, Ruskin, FL 33570",kenncomfg.com,(813) 645-2591,0,4.9,27.389677,-87.1360237
Florida Farm & Ranch Supply · Visited link,"2975 State Rd 60, Bartow, FL 33830",facebook.com,(863) 533-1814,0,4.7,27.389677,-87.1360237
Ag-Pro · Visited link,"9200 NW 13th St, Gainesville, FL 32653",agprocompanies.com,(352) 367-2632,0,4.2,27.389677,-87.1360237
Florida Coast Equipment · Visited link,"3827 Land O' Lakes Blvd, Land O' Lakes, FL 34639",floridacoasteq.com,(813) 995-2533,0,4.3,27.389677,-87.1360237
Florida Coast Equipment · Visited link,"2114 S Orange Blossom Trail, Apopka, FL 32703",floridacoasteq.com,(407) 801-1234,0,4.8,27.389677,-87.1360237
