name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Gamble Creek Farms · Visited link,"14950 Golf Course Rd, Parrish, FL 34219",gamblecreekfarms.com,(941) 900-4234,0,4.7,27.573501,-86.4465108
Showcase of Citrus · Visited link,"15051 Frank Jarrell Rd, Clermont, FL 34714",showcaseofcitrus.com,(352) 394-4377,0,4.5,27.573501,-86.4465108
Lake Meadow Naturals · Visited link,"10000 Mark Adam Rd, Ocoee, FL 34761",lakemeadownaturals.com,(321) 206-6262 ext. 2,0,4.7,27.573501,-86.4465108
Kai Kai Farm · Visited link,"8006 SW Kanner Hwy, Indiantown, FL 34956",kaikaifarm.com,(772) 597-1717,0,4.9,27.573501,-86.4465108
Southern Fresh Farms · Visited link,"8500 Penzance Blvd, Fort Myers, FL 33912",southernfresh.farm,(239) 768-0309,0,4.6,27.573501,-86.4465108
Mack Farms Inc · Visited link,"28501 State Rd 60, Lake Wales, FL 33898",mackfarms.com,(863) 692-1200,0,3.9,27.573501,-86.4465108
Erickson Farm · Visited link,"13646 US-441, Canal Point, FL 33438",ericksonfarm.com,(561) 924-7714,0,4.8,27.573501,-86.4465108
A Land of Delight Natural Farm & Nursery · Visited link,"2514 Leaning Pine Ln, Plant City, FL 33565",alandofdelight.com,(813) 359-9120,0,4.7,27.573501,-86.4465108
Pero Family Farms · Visited link,"14095 US-441, Delray Beach, FL 33446",perofamilyfarms.com,(561) 498-5771,0,2.9,27.573501,-86.4465108
Falkner Farms · Visited link,"35100 FL-64, Myakka City, FL 34251",,(800) 322-7977,0,4.3,27.573501,-86.4465108
Kokomo Farms · Visited link,"19378 NW County Rd 250, Live Oak, FL 32060",kokomofarms.com,(386) 688-6511,0,4.9,27.573501,-86.4465108
Aunt Louise's Farm LLC · Visited link,"8101 Waukeenah Hwy, Monticello, FL 32344",auntlouisesfarm.com,(850) 251-7708,0,4.8,30.428862,-88.5595931
Branchton Farms Produce · Visited link,"15320 Morris Bridge Rd #2234, Thonotosassa, FL 33592",company.site,(813) 324-8933,0,4.4,30.428862,-88.5595931
