name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
United States Machinery · Visited link,,unitedstatesmachinery.com,(772) 696-4010,0,0.0,27.6735785,-86.4460193
USA Heavy Equipment and Parts · Visited link,"5075 NW 79th Ave, Doral, FL 33166",usaheavyequip.com,(800) 985-9597,0,5.0,27.6735785,-86.4460193
Florida Heavy Equipment Sales · Visited link,,floridaheavyequipmentsales.com,(863) 393-8444,0,5.0,27.6735785,-86.4460193
Used Equipment Sales LLC · Visited link,"10934 S Hwy 475, Oxford, FL 34484",,(832) 773-8216,0,0.0,27.6735785,-86.4460193
Quality Equipment & Parts · Visited link,"4894 NW, US-41, Lake City, FL 32055",qepusa.com,(386) 754-6186,0,4.8,27.6735785,-86.4460193
U.S. PARTS LOCATORS · Visited link,"6535 NW 84th Ave, Miami, FL 33166",uspartslocators.com,(305) 594-6901,0,4.6,27.6735785,-86.4460193
East Coast Equipment Group Inc · Visited link,"6593 Wallis Rd, West Palm Beach, FL 33413",ecequipment.com,(561) 517-4427,0,3.8,27.6735785,-86.4460193
Used Equipment Sale (.com) · Visited link,"8750 Philips Hwy, Jacksonville, FL 32256",usedequipmentsale.com,(904) 446-0684,0,0.0,27.6735785,-86.4460193
Florida Equipment Services · Visited link,"6712 Hwy Ave, Jacksonville, FL 32254",flequipment.com,(904) 378-4466,0,4.5,27.6735785,-86.4460193
Marketside Equipment · Visited link,"413 E Southland Ave, Bushnell, FL 33513",marketsideequipment.com,(352) 569-4023,0,3.8,27.6735785,-86.4460193
Everglades Equipment Group · Visited link,"1800 US-441, Leesburg, FL 34748",evergladesfarmequipment.com,(352) 315-1016,0,4.6,27.6735785,-86.4460193
Everglades Equipment Group · Visited link,"2805 State Rd 60, Plant City, FL 33567",evergladesfarmequipment.com,(813) 737-1660,0,4.5,27.6735785,-86.4460193
Florida Coast Equipment · Visited link,"5211 FL-40, Ocala, FL 34482",floridacoasteq.com,(352) 368-2400,0,4.4,27.6735785,-86.4460193
W C E Equipment · Visited link,"3381 NW 18th St, Okeechobee, FL 34972",wce-equipment.com,(800) 837-1914,0,4.0,27.6735785,-86.4460193
Everglades Equipment Group · Visited link,"12049 S Orange Blossom Trl, Orlando, FL 32837",evergladesfarmequipment.com,(407) 240-1023,0,4.6,27.6735785,-86.4460193
