name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
United Rentals - Aerial · Visited link,"3501 FL-7, Davie, FL 33314",unitedrentals.com,(954) 667-3225,0,4.9,27.6235095,-86.446265
USA Heavy Equipment and Parts · Visited link,"5075 NW 79th Ave, Doral, FL 33166",usaheavyequip.com,(800) 985-9597,0,5.0,27.6235095,-86.446265
United States Machinery · Visited link,,unitedstatesmachinery.com,(772) 696-4010,0,0.0,27.6235095,-86.446265
United Rentals · Visited link,"1150 E Landstreet Rd, Orlando, FL 32824",unitedrentals.com,(407) 851-1660,0,4.6,27.6235095,-86.446265
United Rentals – Customer Equipment Solutions · Visited link,"6931 Business Park Blvd N, Jacksonville, FL 32256",unitedrentals.com,(904) 440-7471,0,5.0,27.6235095,-86.446265
United Rentals · Visited link,"5711 E Adamo Dr, Tampa, FL 33619",unitedrentals.com,(813) 630-4889,0,4.0,27.6235095,-86.446265
United Rentals · Visited link,"11909 S Orange Blossom Trl, Orlando, FL 32837",unitedrentals.com,(407) 851-3600,0,4.6,27.6235095,-86.446265
United Rentals · Visited link,"4321 US-301, Tampa, FL 33610",unitedrentals.com,(813) 626-7368,0,4.2,27.6235095,-86.446265
U.S. Environmental Rental Corporation · Visited link,"1202 Tech Blvd STE 108, Tampa, FL 33619",usenvironmental.com,(813) 628-4200,0,4.8,27.6235095,-86.446265
United Rentals · Visited link,"2235 E Edgewood Dr, Lakeland, FL 33803",unitedrentals.com,(863) 666-1988,0,4.0,27.6235095,-86.446265
U.S. PARTS LOCATORS · Visited link,"6535 NW 84th Ave, Miami, FL 33166",uspartslocators.com,(305) 594-6901,0,4.6,27.6235095,-86.446265
United Rentals – Customer Equipment Solutions · Visited link,"4310 E Columbus Dr, Tampa, FL 33605",unitedrentals.com,(813) 327-4230,0,4.8,27.6235095,-86.446265
Florida Equipment Services · Visited link,"6712 Hwy Ave, Jacksonville, FL 32254",flequipment.com,(904) 378-4466,0,4.5,27.6235095,-86.446265
USA EQUIPMENT SERVICE LAND CLEARING AND RENTAL INC. · Visited link,"801 NW 27th Ave, Miami, FL 33125",,(786) 999-2872,0,3.8,27.6235095,-86.446265
Fields Equipment Company · Visited link,"17215 US Hwy 27, Clermont, FL 34715",fieldsequip.com,(352) 394-7181,0,4.4,27.6235095,-86.446265
