name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
United Construction of Texas · Visited link,,united-tx.com,(940) 391-0700,0,5.0,33.6734022,-99.4676731
Texas Built Construction · Visited link,"860 Hembry St suite 401, Lewisville, TX 75057",txbuiltconstruction.com,(972) 219-0729,0,3.9,33.6734022,-99.4676731
Texas Building Contractors · Visited link,"2020 Oakmeadow St, Bedford, TX 76021",texasbuildingcontractors.com,(817) 422-7878,0,4.8,33.6734022,-99.4676731
United Black Contractors Inc. · Visited link,"325 North St. Paul Street 31st floor, Dallas, TX 75201",unitedblackcontractors.com,,0,4.6,33.6734022,-99.4676731
United Construction · Visited link,"4872 TX-276, Royse City, TX 75189",unitedteamllc.com,(972) 722-2322,0,5.0,33.6734022,-99.4676731
United Built Homes · Visited link,"2516 I-35E, Lancaster, TX 75134",ubh.com,(972) 228-2178,0,4.6,33.6734022,-99.4676731
Texas Direct Roofing & Construction · Visited link,"4897 State Hwy 121 #260, The Colony, TX 75056",txdroofing.com,(817) 775-3540,0,5.0,33.6734022,-99.4676731
"Builders Surplus Yee Haa - Haltom City, Texas · Visited link","5832 E Belknap St, Haltom City, TX 76117",builderssurplusyeehaa.com,(817) 831-3600,0,4.8,33.6734022,-99.4676731
American Eagle Builders · Visited link,"401 Crowley Rd, Arlington, TX 76012",americaneaglebuilders.com,(817) 886-5572,0,4.5,33.6734022,-99.4676731
"IMPERIAL CONSTRUCTION, INC · Visited link","400 I-20 Ste 200, Weatherford, TX 76086",imperial-construction.com,(817) 341-8886,0,4.3,33.6734022,-99.4676731
RTX CONSTRUCTION · Visited link,"3345 State Hwy 11E, Wolfe City, TX 75496",rtxconstruction.com,(214) 861-0313,0,5.0,33.3332963,-98.2859218
Couto Homes · Visited link,"3200 East US Hwy 377, Granbury, TX 76049",coutohomes.com,(817) 579-6600,0,4.7,32.4514579,-100.0449371
3:16 Roofing and Construction · Visited link,"1103 Keller Pkwy #303, Keller, TX 76248",316roofingtx.com,(817) 402-7663,0,4.9,32.4514579,-100.0449371
"Texas Traditions Outdoors - Pool and Patio, Fencing, Outdoor Living · Visited link","762 State Hwy 121, Lewisville, TX 75057",dfwpoolandpatio.com,(469) 293-3656,0,4.7,32.4514579,-100.0449371
Absolute Construction · Visited link,"605 18th St, Plano, TX 75074",absoluteroofingcompany.net,(972) 596-0159,0,4.9,32.4514579,-100.0449371
STATES Contracting and Construction LLC · Visited link,,statescnc.com,(972) 439-5646,0,5.0,32.4514579,-100.0449371
Rogers-O'Brien Construction · Visited link,"1901 Regal Row, Dallas, TX 75235",r-o.com,(214) 962-3000,0,4.4,32.4514579,-100.0449371
Barnsco Texas-Dallas · Visited link,"2609 Willowbrook Rd, Dallas, TX 75220",barnsco.com,(214) 352-9091,0,4.1,32.4514579,-100.0449371
Superior Construction Services · Visited link,"12851 US-77, Italy, TX 76651",superiorconstructionservices.com,(888) 230-2240,0,5.0,32.4514579,-100.0449371
US Trinity · Visited link,"200 Highland Cir, Argyle, TX 76226",ustrinity.com,(940) 240-5800,0,3.3,32.4514579,-100.0449371
