name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
US Farm Innovations · Visited link,"3712A Enfield Rd, Austin, TX 78703",usfarminnovations.com,(512) 423-8443,0,0.0,30.3552065,-99.9662677
United Ag & Turf · Visited link,"190 US-84, Goldthwaite, TX 76844",unitedagandturf.com,(325) 248-6440,0,4.6,30.3552065,-99.9662677
United Ag & Turf · Visited link,"2401 N Travis Ave, Cameron, TX 76520",unitedagandturf.com,(254) 534-6005,0,4.4,30.3552065,-99.9662677
Shoppa's Farm Supply · Visited link,"9806 US-59, Victoria, TX 77905",sfstractor.com,(361) 578-7072,0,4.5,30.3552065,-99.9662677
United Ag & Turf · Visited link,"2308 Barnhardt Rd, Temple, TX 76501",unitedagandturf.com,(254) 773-9916,0,4.2,30.3552065,-99.9662677
United Ag & Turf · Visited link,"1130 S Hwy 281, Hamilton, TX 76531",unitedagandturf.com,(254) 386-8103,0,4.6,30.3552065,-99.9662677
Ag Meier Industries LLC. · Visited link,"1130 S Hwy 281, Hamilton, TX 76531",unitedagandturf.com,(254) 386-8103,0,4.3,30.3552065,-99.9662677
United Ag & Turf · Visited link,"4000 W 2nd St, Taylor, TX 76574",unitedagandturf.com,(512) 352-5296,0,4.4,30.3552065,-99.9662677
Shoppa's Farm Supply · Visited link,"1012 State Hwy 95, Shiner, TX 77984",sfstractor.com,(361) 594-3312,0,4.4,30.3552065,-99.9662677
Williamson County Equipment · Visited link,"1006 Carlos G Parker Blvd SW, Taylor, TX 76574",wmcoequip.com,(512) 352-6381,0,4.5,30.3552065,-99.9662677
United Ag & Turf · Visited link,"3110 W State Hwy 21, Bryan, TX 77803",unitedagandturf.com,(979) 822-7684,0,4.5,30.6676992,-98.7163889
General Implement Distributors - an Arnold Machinery Company · Visited link,"657 Alliance Pkwy, Hewitt, TX 76643",generalimp.com,(254) 666-3377,0,5.0,30.6676992,-98.7163889
Southwest Agriculture Supplies · Visited link,"501 Kelly Creek Rd, Bulverde, TX 78163",southwestagriculturesupplies.com,(800) 221-0178,0,5.0,29.7667469,-100.8366249
Tractor Supply Company · Visited link,"2631 State Hwy 71, Cedar Creek, TX 78612",tractorsupply.com,(512) 308-9106,0,4.5,29.7667469,-100.8366249
Tellus Equipment Solutions · Visited link,"688 Standish St, TX-97, Floresville, TX 78114",tellusequip.com,(830) 393-3436,0,4.1,29.7667469,-100.8366249
Tractor Supply Co. · Visited link,"437 State Hwy 71, Bastrop, TX 78602",tractorsupply.com,(512) 321-3660,0,4.2,30.1076544,-99.6383916
Tractor Supply Co. · Visited link,"2005 State Hwy 71, La Grange, TX 78945",tractorsupply.com,(979) 968-2031,0,4.5,30.1076544,-99.6383916
WRI Outdoors & Tractors · Visited link,"6290 W State Hwy 21, Bryan, TX 77807",wrioutdoors.com,(979) 822-6800,0,4.7,30.1076544,-99.6383916
Tractor Supply Co. · Visited link,"1711b US-290, Dripping Springs, TX 78620",tractorsupply.com,(512) 858-7229,0,4.4,30.1076544,-99.6383916
Agroland Equipment & Supplies · Visited link,"21732 State Hwy 71, Spicewood, TX 78669",agrolandeands.com,(512) 291-3364,0,3.1,30.1076544,-99.6383916
