name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Texas State Rentals · Visited link,"24010 Tomball Pkwy, Tomball, TX 77375",texasstate.rentals,(281) 357-0300,0,4.4,32.8443573,-106.245069
Texas State Rentals · Visited link,"13903 US-290, Manor, TX 78653",texasstate.rentals,(512) 886-0030,0,3.9,32.8443573,-106.245069
United Rentals · Visited link,"4002 Texas Ave, Texas City, TX 77591",unitedrentals.com,(409) 938-0766,0,4.8,32.8443573,-106.245069
Where To Buy Heavy Equipment · Visited link,"4549 I-35, Gainesville, TX 76240",interstateheavyequipment.com,(469) 370-7501,0,4.7,32.8443573,-106.245069
USA Equipment Company · Visited link,"11510 FM 1488 #100, Magnolia, TX 77354",usaequipmentco.com,(281) 789-7664,0,0.0,32.8443573,-106.245069
Texas Equipment Source · Visited link,"17138 Farm to Market 2920, Tomball, TX 77377",txequipmentsource.com,(832) 615-2910,0,5.0,32.8443573,-106.245069
Central Texas Equipment · Visited link,"1401 Central Commerce Cir, Pflugerville, TX 78660",ctegroup.net,(512) 442-2371,0,4.2,32.8443573,-106.245069
United Machinery Inc · Visited link,"29217 Frontage Rd, Boerne, TX 78006",unitedmachinerysales.com,(830) 587-3939,0,1.0,32.8443573,-106.245069
"Tesmec USA, Inc. · Visited link","12520 FM917, Alvarado, TX 76009",tesmec.com,(817) 473-2233,0,4.7,32.8443573,-106.245069
Texas Equipment Solutions · Visited link,"7805 Bell Mountain Dr # C, Austin, TX 78730",txequipmentsolutions.com,(512) 276-2769,0,5.0,32.8443573,-106.245069
Southwest Equipment · Visited link,"15565 State Hwy 155, Tyler, TX 75703",southwestdozer.com,(903) 561-9988,0,4.7,32.8443573,-106.245069
Sunstate Equipment · Visited link,"10041 W University Dr, McKinney, TX 75070",sunstateequip.com,(972) 245-5656,0,4.9,32.8443573,-106.245069
UsedEquipment.com · Visited link,"2973 N Industrial Ave, Tyler, TX 75708",usedequipment.com,(903) 941-6803,0,2.9,32.8443573,-106.245069
Quality Used Equipment of South Texas · Visited link,"22902 NW Zac Lentz Pkwy, Victoria, TX 77905",usedequiptx.com,(361) 550-3030,0,1.0,32.8443573,-106.245069
Southwest Texas Equipment · Visited link,"8777 Clay Rd, Houston, TX 77080",swted.com,(713) 895-0404,0,3.9,32.8443573,-106.245069
"North Texas Tractor & Equipment, Inc. · Visited link","4011 I-30, Caddo Mills, TX 75135",northtexastractor.com,(972) 877-0793,0,4.6,32.8443573,-106.245069
Southwest Texas Equipment Distributors · Visited link,"1227 S St Mary's St Mary's, San Antonio, TX 78210",swted.com,(210) 354-0691,0,4.7,32.8443573,-106.245069
Himes Equipment · Visited link,"14813 US-75, Van Alstyne, TX 75495",himesequipment.com,(214) 901-3251,0,4.1,32.8443573,-106.245069
Sunstate Equipment · Visited link,"6035 NE Interstate 410 Loop, San Antonio, TX 78218",sunstateequip.com,(210) 666-1100,0,4.8,32.8443573,-106.245069
FEPO Machinery · Visited link,"29560 US-281, Edinburg, TX 78541",fepomachinery.com,(956) 781-5666,0,4.1,32.8443573,-106.245069
Equipment Inc. · Visited link,"5141 TX-281 Loop, Longview, TX 75603",equipmentinc.com,(903) 758-8231,0,0.0,32.8443573,-106.245069
Texas First Rentals Wylie · Visited link,"1211 S State Hwy 78, Wylie, TX 75098",texasfirstrentals.com,(469) 326-0500,0,3.9,32.8443573,-106.245069
United Heavy Equipment · Visited link,"1403 N Sugar Rd, Pharr, TX 78577",unitedheavyduty.com,(956) 781-7278,0,4.1,32.8443573,-106.245069
Sunstate Equipment - Trench Safety Division · Visited link,"12916 US-290, Manor, TX 78653",sunstateequip.com,(737) 208-1790,0,3.0,32.8443573,-106.245069
Sunstate Equipment · Visited link,"1211 E Cheyenne Rd, Colorado Springs, CO 80905",sunstateequip.com,(719) 577-9750,0,4.3,38.8063574,-114.0337149
USA Equipco · Visited link,"1120 E Coma Ave, Hidalgo, TX 78557",usaequipco.com,(956) 843-7828,0,5.0,26.1049537,-107.4777068
Vermeer Texas-Louisiana · Visited link,"3025 State Hwy 161, Irving, TX 75062",vermeertexas.com,(972) 255-3500,0,4.5,32.847332,-106.2468378
Texas State Equipment · Visited link,"803 SE Loop 410 Acc Rd, San Antonio, TX 78220",,,0,0.0,32.847332,-106.2468378
