name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Koi Dragon Tattoos·Lien consulté,"6526 S State St #403, Murray, UT 84107, États-Unis",koidragontattoo.com,+1 801-590-9444,0,4.9,40.9165803,-112.241144
"SLC Ink Tattoo: Salt Lake City, Utah·Lien consulté","1150 S Main St, Salt Lake City, UT 84101, États-Unis",slctattoos.com,+1 801-596-2061,0,4.6,40.9165803,-112.241144
The Artist Den·Lien consulté,"1140e Brickyard Rd #76, Salt Lake City, UT 84106, États-Unis",facebook.com,+1 801-520-2111,0,4.7,40.9165803,-112.241144
White Raven Tattoo·Lien consulté,"7692 S 100 W, Midvale, UT 84047, États-Unis",instagram.com,+1 385-274-2351,0,4.7,40.9165803,-112.241144
EmberSteel Tattoo Studio·Lien consulté,"283 E 2100 S, Salt Lake City, UT 84115, États-Unis",embersteeltattoo.com,+1 801-810-9227,0,4.9,40.9165803,-112.241144
Good Times Tattoo·Lien consulté,"1249 S 900 E, Salt Lake City, UT 84105, États-Unis",goodtimesslc.com,+1 801-485-4777,0,4.7,40.9165803,-112.241144
Aloha Tattoos·Lien consulté,"6657 S State St #4, Murray, UT 84047, États-Unis",alohatattoos.net,+1 801-702-8438,0,4.5,40.9165803,-112.241144
Yellow Rose Tattoo·Lien consulté,"250 S 1300 E, Salt Lake City, UT 84102, États-Unis",yellowrosetattoos.com,+1 801-415-9596,0,4.7,40.9165803,-112.241144
Big Deluxe Tattoo·Lien consulté,"662 S State St, Salt Lake City, UT 84111, États-Unis",bigdeluxetattoo.com,+1 801-595-1186,0,4.6,40.9165803,-112.241144
Raventhorn Manor Tattoo·Lien consulté,"145 S 400 E, Salt Lake City, UT 84111, États-Unis",themanortattoo.com,+1 435-200-5738,0,4.7,40.9165803,-112.241144
Gypsie Soul Tattoo·Lien consulté,"1460 S State St, Salt Lake City, UT 84115, États-Unis",gypsiesoultattoo.com,+1 801-783-8479,0,4.9,40.9165803,-112.241144
