name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Medical Equipment of Florida · Visited link,"1750 W 39th Pl STE 1007, Hialeah, FL 33012",medicalequipmentfl.com,(305) 558-9266,0,0.0,46.423669,-129.9427085
"Southwest Florida Home Medical Equipment Services,Inc · Visited link",Florida 33966,,,0,0.0,46.423669,-129.9427085
Florida Medical Supply · Visited link,,floridamedical.supply,(850) 389-4225,0,0.0,46.423669,156.2291664
Florida Medical Equipment / RoadTech Med supplies · Visited link,"9770 16th St N, St. Petersburg, FL 33716",,(727) 576-7893,0,1.5,27.8611276,-156.4838714
USA Medical Supply (USA Capital Fund) · Visited link,"2450 Hollywood Blvd #503, Hollywood, FL 33020",usamedicalsupply.org,(954) 603-8663,0,5.0,27.8611276,-156.4838714
US Med-Equip · Visited link,"580 E Burgess Rd Suite B2, Pensacola, FL 32504",usme.com,(877) 677-7767,0,0.0,27.8611276,-156.4838714
FL Medical Supplies · Visited link,"Jacksonville, FL 32202",,(954) 839-6496,0,1.0,27.8611276,-156.4838714
K&D Medical Supplies · Visited link,,kdmedicalsupplies.com,(850) 696-5552,0,5.0,46.423669,156.2291664
Medical Supply · Visited link,Florida 34607,,,0,0.0,28.4760115,-156.4431827
US Medical Specialties · Visited link,"1602 N Florida Ave, Tampa, FL 33602",usmedkits.com,(813) 277-9000,0,4.0,28.4760115,-156.4431827
Medirect Medical Florida · Visited link,"6925 NW 52nd St, Miami, FL 33166",medirectmedicalsupplies.com,(844) 363-3278,0,4.9,28.4760115,-156.4431827
Florida Surgical Supply · Visited link,"4500 S Tamiami Trail, Sarasota, FL 34231",floridasurgicalsupply.com,(941) 366-2345,0,4.6,28.4760115,-156.4431827
Florida Home Health Equipment · Visited link,"4700 L B McLeod Rd Suite 5, Orlando, FL 32811",,(407) 843-2777,0,3.5,28.4760115,-156.4431827
Florida Home Medical Equipment · Visited link,"2600 Centennial Pl, Tallahassee, FL 32308",,(850) 425-5722,0,0.0,28.4760115,-156.4431827
"DME of America | Medical Equipment & Supplies Store Port Saint Lucie, Florida · Visited link","9116 S Federal Hwy, Port St. Lucie, FL 34952",dmeofamericainc.com,(772) 398-4700,0,4.6,28.4760115,-156.4431827
"North Florida Medical Sales and Rentals of Gainesville, Inc. · Visited link","3558 NW 97th Blvd, Gainesville, FL 32606",allstarmed.net,(877) 372-0202,0,4.3,28.4760115,-156.4431827
Helios Medical Equipment · Visited link,"14449 N Dale Mabry Hwy, Tampa, FL 33618",helioshme.com,(813) 373-5443,0,5.0,28.4760115,-156.4431827
Discount Medical Supply · Visited link,"2045 12th St, Sarasota, FL 34237",discountmedicalsupplyfl.com,(941) 954-9066,0,4.5,28.4760115,-156.4431827
Southeastern Medical Supply · Visited link,"3615 Century Blvd #1, Lakeland, FL 33811",southeasternms.com,(863) 220-7043,0,4.7,28.4760115,-156.4431827
"Florida Medical Sales, Inc. · Visited link","4320 A1A S, St. Augustine, FL 32080",floridamedicalsales.com,(888) 269-1810,0,5.0,28.4760115,-156.4431827
