name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
USA Medical Supply (USA Capital Fund) · Visited link,"2450 Hollywood Blvd #503, Hollywood, FL 33020",usamedicalsupply.org,(954) 603-8663,0,5.0,46.423669,-129.9427085
Medical Equipment of Florida · Visited link,"1750 W 39th Pl STE 1007, Hialeah, FL 33012",medicalequipmentfl.com,(305) 558-9266,0,0.0,46.423669,-129.9427085
"Southwest Florida Home Medical Equipment Services,Inc · Visited link",Florida 33966,,,0,0.0,46.423669,-129.9427085
Medical Equipment and Supplies of America LLC · Visited link,,,(352) 469-1100,0,0.0,46.423669,-129.9427085
Florida Medical Supply · Visited link,,floridamedical.supply,(850) 389-4225,0,0.0,46.423669,156.2291664
US Medical Specialties · Visited link,"1602 N Florida Ave, Tampa, FL 33602",usmedkits.com,(813) 277-9000,0,4.0,27.9598074,-156.2878121
Florida Medical Equipment / RoadTech Med supplies · Visited link,"9770 16th St N, St. Petersburg, FL 33716",,(727) 576-7893,0,1.5,27.9598074,-156.2878121
"U S Medical Equipment, Inc. · Visited link","36967 Amrhein Rd, Livonia, MI 48150",usmedicalequip.com,(734) 425-0001,0,3.9,27.9598074,-156.2878121
"Medical Equipment and Supplies of America, LLC · Visited link",,,(407) 680-1011,0,0.0,27.9598074,-156.2878121
US MED · Visited link,"8200 NW 33rd St Suite 200, Doral, FL 33122",usmed.com,(877) 840-8218,0,4.5,27.9598074,-156.2878121
United Medical Equipment & Supplies · Visited link,"1600 N Federal Hwy # 751, Pompano Beach, FL 33062",,(954) 933-5738,0,0.0,27.9598074,-156.2878121
US Medical Providers · Visited link,"3200 N Federal Hwy suite 227, Boca Raton, FL 33431",,(888) 671-1096,0,5.0,27.9598074,-156.2878121
Florida Home Medical Equipment · Visited link,"3700 Commerce Pkwy, Miramar, FL 33025",,(954) 874-0250,0,2.0,27.9598074,-156.2878121
US Med-Equip · Visited link,"580 E Burgess Rd Suite B2, Pensacola, FL 32504",usme.com,(877) 677-7767,0,0.0,27.9598074,-156.2878121
Medical Equipment and Supplies of America · Visited link,"12035 34th St N #1, St. Petersburg, FL 33716",mesamedical.us,(727) 851-9880,0,3.9,27.9598074,-156.2878121
Medical Equipment & Supplies of America · Visited link,"4301 Fortune Pl J, Melbourne, FL 32904",mesamedical.us,(321) 345-5134,0,4.0,27.9598074,-156.2878121
"Florida Medical Sales, Inc. · Visited link","4320 A1A S, St. Augustine, FL 32080",floridamedicalsales.com,(888) 269-1810,0,5.0,27.9598074,-156.2878121
US Med-Equip · Visited link,"6870 28th St Cir E, Sarasota, FL 34243",usme.com,(877) 677-7767,0,0.0,27.9598074,-156.2878121
US Med-Equip · Visited link,"7100 Tpc Dr Suite 400, Orlando, FL 32822",usme.com,(877) 677-7767,0,1.0,27.9598074,-156.2878121
US Med-Equip · Visited link,"3110 Cherry Palm Dr Suite 360, Tampa, FL 33619",usme.com,(877) 677-7767,0,0.0,27.9598074,-156.2878121
