name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Advanced Medical Supply · Visited link,"4750 S Colony Blvd #118, The Colony, TX 75056",advanceddmesupplies.com,(214) 494-6464,0,4.6,38.7592215,-105.5517944
CVI Medical · Visited link,"11613 N Central Expy #117, Dallas, TX 75243",cvimedical.com,(214) 363-2289,0,4.9,38.7592215,-105.5517944
Choice Medical Equipment · Visited link,"1173 Bent Oaks Dr, Denton, TX 76210",choicemedicalequipment.com,(940) 380-0455,0,3.1,38.7592215,-105.5517944
A to Z Medical Equipment & Supplies LLC · Visited link,"15060 E Beltwood Pkwy suite b, Addison, TX 75001",atozwheelchairs.com,(214) 349-2869,0,4.4,38.7592215,-105.5517944
Specialty Medical Sales · Visited link,"1702 S State Hwy 121 #607, Lewisville, TX 75067",specialtymedical.com,(972) 434-2073,0,4.6,38.7592215,-105.5517944
Medical Purchasing Resource- Medical Equipment Supplier · Visited link,"5026 Cardinal Ct, Little Elm, TX 75068",medpurchasing.com,(214) 888-3614,0,4.8,38.7592215,-105.5517944
US Med-Equip · Visited link,"7507 68th St Suite A, Lubbock, TX 79407",usme.com,(877) 677-7767,0,0.0,33.5311599,-111.2136406
"Med-Equip, Inc. · Visited link","5205 Davis Blvd Ste G, North Richland Hills, TX 76180",,(817) 479-3330,0,5.0,32.8424776,-106.4433505
Healthline · Visited link,"4709 Lydia Dr, Wichita Falls, TX 76308",healthlinedme.com,(940) 691-6100,0,4.8,32.8424776,-106.4433505
"Rhema Medical, A Rotech Company · Visited link","8356 Sterling St, Irving, TX 75063",rotech.com,(972) 256-2030,0,3.2,32.8424776,-106.4433505
Areli Medical Devices · Visited link,"4616 US HWY 75 STE 100, Denison, TX 75020",arelimedical.com,(903) 487-0908,0,5.0,32.8424776,-106.4433505
ALL IN ONE MEDICAL SUPPLY · Visited link,"2333 W Rochelle Rd, Irving, TX 75062",ai1ms.com,(817) 868-1700,0,2.8,32.8424776,-106.4433505
Star Medical Equipment Inc · Visited link,"11912 Slide Rd, Lubbock, TX 79424",starmedinc.com,(806) 762-6777,0,4.0,33.4853948,-111.1513343
Universal Medical Supply · Visited link,"405 Century Pkwy Suite 250, Allen, TX 75013",universalmedicals.com,(972) 396-0871,0,1.5,33.0966699,-105.9020966
B.T. Medical Supplies · Visited link,"201 Linda Dr, Sulphur Springs, TX 75482",btmedicalsupply.com,(903) 885-8700,0,4.1,33.0966699,-105.9020966
MedEquip Depot · Visited link,"10500 Metric Dr Suite 119, Dallas, TX 75243",medequipdepot.com,(800) 598-6960,0,4.2,33.0966699,-105.9020966
TMC Medical Supply · Visited link,"619 W Main St, Denison, TX 75020",texomamedicalcenter.net,(903) 416-5555,0,3.5,33.0966699,-105.9020966
TMC Medical Supply & Scrubs · Visited link,"5012 US-75 #135, Denison, TX 75020",texomamedicalcenter.net,(903) 416-5555,0,4.6,33.0966699,-105.9020966
Allcare Medical Supply · Visited link,"5016 Jacksboro Hwy, Fort Worth, TX 76114",,(817) 626-3562,0,2.8,33.0966699,-105.9020966
US Med-Equip · Visited link,"1515 Avenue S #200, Grand Prairie, TX 75050",usme.com,(877) 677-7767,0,1.0,33.0966699,-105.9020966
