name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Texas Construction Company · Visited link,"8751 Collin McKinney Pkwy Suite 1102-507, McKinney, TX 75070, United States",texasconstructioncompany.net,+1 972-630-4819,0,5.0,31.1292038,-102.3869884
Texas Built Construction · Visited link,"2500 Dallas Pkwy, Plano, TX 75093, United States",txbuiltconstruction.com,+1 972-219-0729,0,4.1,31.1292038,-102.3869884
Texas Sterling Construction Co. · Visited link,"20810 Fernbush Dr, Houston, TX 77073, United States",texassterling.com,+1 281-821-9091,0,4.4,31.1292038,-102.3869884
North Texas Contractors Group · Visited link,"12650 N Beach St, Fort Worth, TX 76244, United States",ntxcg.com,+1 469-767-4846,0,5.0,31.1292038,-102.3869884
North Texas Contracting · Visited link,"4999 Keller Haslet Rd, Fort Worth, TX 76244, United States",northtexascontracting.com,+1 817-430-9500,0,4.5,31.1292038,-102.3869884
Dunhill Construction · Visited link,"4801 Woodway Dr #425W, Houston, TX 77056, United States",dunhilldevelopment.com,+1 713-493-0177,0,5.0,31.1292038,-102.3869884
Texas Construction Company · Visited link,"5609 S Congress Ave #210, Austin, TX 78745, United States",txconstruct.com,+1 512-451-8050,0,4.8,30.2040272,-107.0033441
JNT Construction · Visited link,"10860 Switzer Ave, Dallas, TX 75238, United States",jntconstruct.com,+1 972-885-5053,0,4.4,30.2040272,-107.0033441
Texas Pro Build Contractors LLC · Visited link,"7421 Ranger Way, Fort Worth, TX 76133, United States",texasprobuild.net,+1 682-556-6572,0,5.0,30.2040272,-107.0033441
Texas General Contractors · Visited link,"4601 S Wayside Dr, Houston, TX 77087, United States",texasgeneral.com,+1 936-628-5566,0,4.7,30.2040272,-107.0033441
Palm Construction Inc · Visited link,"500 N Capital of Texas Hwy #300, Austin, TX 78746, United States",palmconstructiontx.com,+1 512-987-6370,0,4.7,30.2040272,-107.0033441
Forney Construction · Visited link,"8945 Long Point Rd, Houston, TX 77055, United States",forneyconstruction.com,+1 713-224-1900,0,4.5,30.2040272,-107.0033441
West Construction Group · Visited link,"3401 Custer Rd #128, Plano, TX 75023, United States",wcgtexas.com,+1 972-730-2594,0,4.9,30.2040272,-107.0033441
